"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"D14","D","Aktualisieren der Compirat-Website, neue Kurse ab März 2015 eintragen, Flyers hochladen etc.","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","12.12.2014","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D14","D","Aktualisieren der Compirat-Website, neue Kurse ab März 2015 eintragen, Flyers hochladen etc.","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","28.02.2015","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","Aktualisierungen an der Compirat Website, Anpassungen beim Menü","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","01.07.2012","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D14","D","Aktualisierungen an der Compirat Website, Anpassungen beim Menü","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","21.12.2012","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005867","W","Akuvox R15P869","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93 kg","","","","","","","","","","31.08.2023","ja","0.00","0.00","0.00","","Akuvox","190","230","45","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006304","W","Albis-Elcon ACCEED 2102 DT 1+1SFP","","","","","","","4","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.905 kg","","","","","","","","","","05.03.2024","ja","0.00","0.00","0.00","","unbekannt","268","173","38","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005452","W","Alcatel 3EH76174ACJA","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3 kg","","","","","","","","","","17.06.2023","ja","0.00","0.00","0.00","","Alcatel","340","345","65","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7020","W","Alcatel OS6250-24","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.7 kg","","","","","","","","","","02.10.2025","ja","0.00","0.00","0.00","","3Com","","215","44","","OS6250-24 fast ethernet- chassis Mit AOS Enterprise-Software. Bietet 24 RJ-45 10/100 BaseT oder 100/1000 BaseX Combo und zwei dedizierte 2.5G HDMI stacking Portas. 1U x ½ Rackformfaktor","connect","Externe_Netzwerkgeräte","yes","Switch, Hub","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7016","W","Alcatel OS6450-P10","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16 kg","","","","","","","","","","02.10.2025","ja","0.00","0.00","0.00","","3Com","","230","50","","Anschlüsse: 10x RJ45, 0x SFP, 2x SFP+, 0x QSFP+, 0x SFP28, 0x QSFP28 Halbe Rack-Breite (21,5 cm)","","Externe_Netzwerkgeräte","yes","Switch, Hub","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"006400","W","Alcatel VoIP-Telephon 8038","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.896 kg","","","","","","","","","","05.04.2024","ja","0.00","0.00","0.00","","Alcatel","251","172","68","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005905","W","Alienware Area 51 Gehäuse","","","","","","","1","0","Stck","0.00","0.00","90.00","90.00","0.00","0.00","0.00","16.2 kg","","","","","","","","","","12.09.2023","ja","0.00","0.00","0.00","","Alienware","640","270","569","","","","","","","",""
"","","","","","","","","","","","","","0.00","","90.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000194","W","Alimentation 5V, 3A pour Syquest ez 135 fabriqué d'une alimentation compatible et un cable DIN5","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","55.70","0.00","0.00","0 kg","","","","13.11.2023","","","","","","19.03.2014","ja","0.00","0.00","0.00","","diverse","0","0","0","","","","","","","",""
"000194","W","Alimentation 5V, 3A pour Syquest ez 135 fabriqué d'une alimentation compatible et un cable DIN5","","","","","","","0","0","Stck","0.00","0.00","40.00","0.00","55.70","0.00","0.00","0 kg","","","","13.11.2023","","","","","","19.03.2014","ja","0.00","0.00","0.00","","diverse","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000195","W","Alimentation pour PowerMac G4 AcBel / API0PC24 / 344W","","","","","","","0","0","Stck","0.00","0.00","50.01","0.00","0.00","0.00","0.00","0 kg","","","","29.07.2024","","","","","","19.12.2014","ja","0.00","0.00","0.00","","diverse","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P14","W","ALIX.1D system board","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","99.90","0.00","197.00","0.00","0.00","0 kg","","","","07.01.2013","","","","","","23.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P32","W","ALIX.1D system board, enclosure, AC adapter 12V","","Computer Occasion","","","","","0","0","Stck","50.00","0.00","110.00","0.00","0.00","0.00","0.00","0 kg","","","","13.10.2011","","","","","","16.11.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"P32","W","ALIX.1D system board, enclosure, AC adapter 12V","","Computer Occasion","","","","","0","0","Stck","50.00","0.00","110.00","0.00","0.00","0.00","0.00","0 kg","","","","25.01.2013","","","","","","16.11.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002645","W","Alix 2D3 / 2D13, APU case - 2 WiFi - Red","","","","","","","0","0","Stck","0.00","0.00","10.00","0.00","0.00","0.00","0.00","0.35 kg","","","","","","","","","","06.11.2019","ja","0.00","0.00","0.00","","PC Engines","160","170","30","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten","","Dienstleistung","","","","","0","0","psch","0.00","0.00","0.00","0.00","500.00","0.00","0.00","0 kg","","","","18.03.2014","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten","","Dienstleistung","","","","","0","0","psch","0.00","0.00","30.00","0.00","500.00","0.00","0.00","0 kg","","","","07.12.2011","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten drei Stecker übergang","","Dienstleistung","","","","","0","0","psch","0.00","0.00","15.00","0.00","500.00","0.00","0.00","0 kg","","","","17.12.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","10.00","0.00","500.00","0.00","0.00","0 kg","","","","31.10.2016","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","25.00","0.00","500.00","0.00","0.00","0 kg","","","","31.10.2016","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","70.00","0.00","500.00","0.00","0.00","0 kg","","","","31.07.2017","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","70.00","0.00","500.00","0.00","0.00","0 kg","","","","18.08.2017","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","70.00","0.00","500.00","0.00","0.00","0 kg","","","","24.08.2017","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","90.00","0.00","500.00","0.00","0.00","0 kg","","","","12.09.2017","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","90.00","0.00","500.00","0.00","0.00","0 kg","","","","06.10.2017","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","70.00","0.00","500.00","0.00","0.00","0 kg","","","","03.07.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","70.00","0.00","500.00","0.00","0.00","0 kg","","","","06.07.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","60.00","0.00","500.00","0.00","0.00","0 kg","","","","20.08.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","60.00","0.00","500.00","0.00","0.00","0 kg","","","","19.09.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","35.00","0.00","500.00","0.00","0.00","0 kg","","","","10.10.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","0.00","0.00","500.00","0.00","0.00","0 kg","","","","18.10.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","100.00","0.00","500.00","0.00","0.00","0 kg","","","","21.12.2018","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","30.00","0.00","500.00","0.00","0.00","0 kg","","","","15.11.2019","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","30.00","0.00","500.00","0.00","0.00","0 kg","","","","20.12.2019","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","500.00","0.00","500.00","0.00","0.00","0 kg","","","","09.01.2020","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","20.00","0.00","500.00","0.00","0.00","0 kg","","","","14.10.2021","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","40.00","0.00","500.00","0.00","0.00","0 kg","","","","15.07.2022","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","20.00","0.00","500.00","0.00","0.00","0 kg","","","","28.09.2022","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","80.00","0.00","500.00","0.00","0.00","0 kg","","","","14.02.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","80.00","0.00","500.00","0.00","0.00","0 kg","","","","14.02.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","50.00","0.00","500.00","0.00","0.00","0 kg","","","","28.07.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","20.00","0.00","500.00","0.00","0.00","0 kg","","","","07.08.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","20.00","0.00","500.00","0.00","0.00","0 kg","","","","11.08.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","90.00","0.00","500.00","0.00","0.00","0 kg","","","","30.08.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","60.00","0.00","500.00","0.00","0.00","0 kg","","","","25.09.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","60.00","0.00","500.00","0.00","0.00","0 kg","","","","26.09.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","20.00","0.00","500.00","0.00","0.00","0 kg","","","","09.10.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D20","D","allgemeine Arbeiten pauschal","","Dienstleistung","","","","","0","0","psch","0.00","0.00","40.00","0.00","500.00","0.00","0.00","0 kg","","","","17.10.2023","","","","","","02.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
