"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"P59","W","11 PC Small Form Factor Pentium 4 und Pentium D","","Computer Occasion","","","","","0","0","Stck","0.00","0.00","300.00","0.00","129.00","0.00","0.00","0 kg","","","","27.10.2012","","","","","","29.01.2009","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2","D","1.2.2022 IT-Sitzung im Treffpunkt Vogelsang","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","04.12.2022","","","","","","13.06.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D2","D","1.2.2022 IT-Sitzung im Treffpunkt Vogelsang","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","05.12.2022","","","","","","13.06.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"001931","W","128 MB DIMM 168pin SDRAM","","","","","","","0","0","Stck","0.00","0.00","5.00","0.00","0.00","0.00","0.00","0.03 kg","","","","24.02.2017","","","","","","24.02.2017","ja","0.00","0.00","0.00","","diverse","133","32","4","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","12.9.2024 Support beim Umstieg auf Linux","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","11.09.2024","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D15","D","12 Miniaturbilder für handpuppen.ch erzeugen und in Auswahlmenü einbauen","","Dienstleistung","","","","","0","0","psch","0.00","0.00","200.00","0.00","0.00","0.00","0.00","0 kg","","","","29.09.2007","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
